label,claim
true,"The national debt increased $16,000 every secondGeorge Allen served in theU.S. Senate."
half-true,"More than a quarter of mortgage borrowers are underwater, and 11 percent of all homes are vacant."
barely-true,"Regarding the Iraq War, I was the one that said, Dont go, dont do it, youre going to destabilize the Middle East."
pants-fire,A flight from Atlanta to Houston was canceled due to a terrorist dry run.
pants-fire,Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.
false,The pass rate for a high school level test to join the military is 35 to 40 percent.
true,I dont understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times.
true,"You know, Sen. McCain said the other day that we might have troops (in Iraq) for 100 years..."
mostly-true,Today the top 1 percent earn a higher share of our national income than any year since 1928.
false,The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island.
pants-fire,Wendy Davis raised money for a U.S. House Democrat who is a member of a Democratic socialists group.
true,More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.
half-true,The rate of U.S. female homicide victimsoutnumbers 24 other developed countries by more than 2 to 1.
false,"As unbelievable as it sounds, your tax dollars are funding the federal governments Zombie Apocalypse Plan. I kid you not."
mostly-true,I am very proud that over my almost 30 years of public service I have had no scandals.
half-true,The election bill allows persons to correct an absentee ballot if they did not sign it and requires an extra two hours a day for early voting. Everything else in this bill is discretionary.
false,"The president went on a stimulus-fueled spending binge that stuck every American man, woman and child with a $50,000 share of this $16 trillion debt."
pants-fire,New food safety legislation will regulate backyard gardening.
pants-fire,Congressman Scott DesJarlais is spending his one year anniversary on vacation -- only working 6 days in all of January.
mostly-true,"If you are born poor in America, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class."
mostly-true,Says Patrick Murphy has taken more money from Wall Street than any other member of Congress other than the speaker and the majority leader.
true,You can import as many hemp products into this country as you want...but we cant grow it.
true,We have more coal reserves in the United States than they have oil reserves in Saudi Arabia.
pants-fire,Page 992 of the health care bill will establish school-based 'health' clinics. Your children will be indoctrinated and your grandchildren may be aborted!
false,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.
mostly-true,State employees havent received a raise in five or six years.
barely-true,"Charlie Crist attacks me for positions he held, like, six months ago, (when) he was running in the Republican primary."
mostly-true,Sixteen [federal] programs exist to fight homelessness and some of them are duplicative.
pants-fire,"Under the cap-and-trade bill, homes would have to be retrofitted to meet energy and water efficiency standards before they could be sold."
half-true,"Bernie Sanders voted with Republicans to protect the Minutemen, a hate group that used military tactics against our community."
true,Guantanamo Bay detainees will get the H1N1 vaccine.
mostly-true,"If you look at the states where soccer is most popular, theyre overwhelmingly blue states, and the states where soccer is least popular are red states."
false,The Muslim Brotherhood has openly stated they want to declare war on Israel.
pants-fire,U.S. Rep. Phil Gingrey wants public schools to teach women to stay in their place.
half-true,Our government has spent $2.6 million to teach Chinese prostitutes how to drink responsibly.
half-true,Rick Scott says he supported in-state tuition for Dreamers while Charlie Crist was against it.
false,"Sen. Obama wants to ""enact the single largest tax increase since the Second World War."""
half-true,"Do you know which state has the worst ratio of white voter turnout to African-American voter turnout? Massachusetts. Do you know what has the best, where African-American turnout actually exceeds white turnout? Mississippi."
half-true,"300,000 Floridians will lose their current health plans because of Obamacare, a plan Alex Sink supports."
barely-true,"As governor, Kasich delivered the largest tax cut in the nation."
mostly-true,Says the area damaged by Hurricane Sandy represents roughly 10 percent of our nations economy.
mostly-true,TheU.S. economyis three times asbig as Chinas.
true,McCain tells of a fellow Vietnam POW who was beaten for fashioning an American flag that became an inspirational symbol to fellow POWs.
mostly-true,The Cathedral of Christ the King is one of the Archdiocese of Atlantas largest and fastest-growing parishes.
mostly-true,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich."""
barely-true,"Rick Perry ended full-day Pre-K for 100,000 Texas children."
mostly-true,"The CBO found that the House Republican health care plan would lower premiums by ""up to about 10 percent"" and, for purchasers in the individual market, ""those cost savings could even be higher."""
false,"Says Milwaukee Mayor Tom Barrett is responsible for the roughly $7,800 I pay in property taxes per year."
pants-fire,Says Ken Cuccinelli wants to eliminate all forms of birth control.
true,"In its current state, this bill is the most restrictive voter ID legislation in the nation."
false,Only one out of 10 minimum wage workers today are teen age or a young person.
mostly-true,The United Nations has conducted 172 successful peacekeeping missions and negotiations.
half-true,She [Hillary Clinton] has also said unequivocally that she didnt receive classified documents.
half-true,"Sarah Palin endorsed a Wasilla policy that charged sexual assault victims for their ""rape kits."""
half-true,The poorest counties in the U.S. are in Appalachia and happen to be more than 90 percent white.
true,The governors budget proposal reduces the state austerity cut to education to under $500 million for 2016.
barely-true,"Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households."
barely-true,"When SACS came back to the DeKalb County School District to give a midterm review, we got straight As."
mostly-true,"In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place."
pants-fire,It is Hillary Clintons agenda to release the violent criminals from jail. She wants them all released.
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support."
true,Ed Schultz said Alan Grayson is what its all about.
mostly-true,"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit."
barely-true,"Says I never billed a single hour of my time to the City of Portland in the last 10 years -- so, no revolving door."
mostly-true,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.
true,San Antonio is now the largest city in the United States ever to have an African American woman mayor.
false,On running for re-election to U.S. Senate
false,Says the president of the University of Texas has raised four-year student graduation rates to 75 percent.
pants-fire,Says for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.
false,Labor union president Andy Stern is the most frequent visitor at the White House.
true,A government shutdown could disrupt ... veterans benefits.
barely-true,"In fighting collective bargaining changes, Democrats are trying to protect a system that pays unionized government workers 42 percent more than non-union workers."
barely-true,"Palin ""stopped the Bridge to Nowhere."""
half-true,Says he has been able to attract independents and Democrats to win elections in Pennsylvania.
false,"Under a proposal by Rep. Paul Ryan, people on Medicare will only have $15,000 from the federal government to spend on their health care."
false,Says we could have saved ourselves the cost of building the Powell Butte water reservoir.
true,Says John Bolton supported the Iraq War and said last year thatI still think the decision to overthrow Saddam was correct.
barely-true,"Says Howard Zinn, an anti-American Marxist, wrote the most popular textbook thats taught in our high schools in America."
true,Saudi Arabia has the third-largest military budget in the entire world.
half-true,"The health care law was a 2,733-page bill! . . . No amendments!"
barely-true,"Most of the stimulus money will be spent not this year, not next year, but in 2011."
barely-true,"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear."
true,"In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare."
barely-true,Millennials will be 75 percent of the workforce in the next 10 years.
pants-fire,Boston Marathon bombing suspect Tamerlan Tsarnaev is buried not far from President Kennedys grave.
false,Says Ron Wyden spent $2 million to study exotic ants.
false,Health care premiums up 90 percent in New Hampshire.
barely-true,This president spends 30 times as much money on global warming research as he does on weather forecasting and warning.
false,The Republicans just voted last year to end Medicare.
false,"In the first year of the Obama administration, more jobs were created in the private sector than in the eight years of the Bush administration."
mostly-true,"Georgia has the nations fifth largest Women, Infants and Children (WIC) Supplemental Nutrition program, serving more than 270,000 mothers, babies and children every day."
barely-true,"John McCain worries about nuclear waste in Arizona, but not in Nevada."
mostly-true,"Currently, Florida is one of only five states in the nation that prohibit citizens from buying electricity from companies that will put solar panels on your home or business."
barely-true,"Says 220,000New Yorkers would have immediately benefitted had President Obamas executive action been affirmed.So almost a quarter million of our fellow New Yorkers who are hurting right now whose rights and opportunities were taken away by the Supreme Court."
half-true,Says he passed a bill to stop a military requirement that wounded soldiers pay for meals and phone calls.
false,"Under a proposed bill, a $100,000 homes flood insurance premium would be maybe $200 or $300 annually."
half-true,Sotomayor has had her rulings thrown out by the court a troubling four times.
false,On whether to run for the U.S. Senate as an independent.
barely-true,The total unemployment rate for Hispanic or Latino workers has increased from 10% to 10.3% between January 2009 and March 2012.
true,On allowing a vote on universal gun background checks in the U.S. Senate.
half-true,"The Obama administration willfully leaked the existence of STUXNET (a computer worm used against Iran), allowing our enemies to learn more of our secrets and of our operations."
barely-true,"An image of nine white, blondwomen shows the amazing diversity of Fox News anchors."
pants-fire,"Under President Obama: $4,000 tax hike on middle-class families."
mostly-true,There are a larger number of shark attacks in Florida than there are cases of voter fraud.
half-true,Today we stand as the highest-performing urban school district in America.
mostly-true,"Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas."
true,Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.
true,"Voting in the wrong precinct led to over 14,000 registered voters statewide to lose their vote in 2008."
mostly-true,Fifty percent of Speaker Gingrichs tax plan goes to the top 1 percent.
true,"A couple retiring today will pay about $119,000 in lifetime Medicare taxes and receive about $357,000 in lifetime Medicare benefits. ... about 3 bucks in benefits for every dollar in taxes."
barely-true,Says Russ Feingold cast the deciding vote for the largest tax increase in history
true,"Marco Rubio made it clear: Not only does he think Donald Trump is a con man, hewent on to say he doesnt trust Donald Trump with the nuclear codes."
mostly-true,There is no planned air-conditioned restaurant out on the Lens.
half-true,"Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037."
pants-fire,Austin is effectively imposing a ban on barbecue restaurants.
false,Martin Luther King Jr. was a Republican.
false,"Shows in a television ad that police took evidence fromSolantic, Rick Scotts new health care company, after allegations emerged that the company was engaging in fraud."
false,Hillary Clinton and Barack Obama want to raise taxes on all income brackets.
half-true,"Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue."""
mostly-true,"In the last 29 months, our economy has produced about 4.5 million private-sector jobs."
barely-true,"In 2005 and 2007, Joe Straus received a 100 percent rating by NARAL (the National Abortion and Reproductive Rights Action League)."
true,"Despite what Donald Trump claims, there werent 15,000 people who turned out in Phoenix to see Trump speak."
half-true,Says three Ukrainians recently captured on a West Texas ranch are among individuals from countries that have strong terrorist ties being apprehended near the states border with Mexico.
pants-fire,Mitch McConnell voted with Harry Reid to infringe on our gun rights.
false,"There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled."
half-true,"Say in November 2010, voters overwhelmingly supported the idea of creating a (library) district."
pants-fire,"Says Donald Trump said of women, And you can tell them to go f--- themselves."
half-true,"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes."
true,The state budget has increased almost $800 million a year in each of the last two years.
true,"Among Milwaukee Public Schools students, 86 percent are behind in reading and 80 percent are behind in math."
false,"If Barack Obama would apply for a job with the FBI or with the Secret Service, he would be disqualified because of his past associations with William Ayers."
barely-true,"Premeditation, in murder cases like the Oscar Pistorius case, can be formed in the twinkling of an eye."
false,Personal income is growing faster in Tennessee on average than any other state in the country.
false,"Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams."
mostly-true,"In the city of Milwaukee, weve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city."
half-true,"After losing 750,000 jobs a month before this administration, the U.S. economy under Barack Obama has had 20 straight months of growth, has added 2.8 million jobs in the private sector and added millions of jobs in manufacturing."
false,Ben Franklin once quipped that only two things in life were certain: death and taxes. I think even he didnt envision that the tax man would visit on the day of your death.
true,Obama promised to cut the deficit by half by the end of his first term but he hasnt even come close.
pants-fire,President Barack Obamas policies have forced many parts of the country to experience rolling blackouts.
half-true,"Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists."
true,The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.
mostly-true,Says there have been well over 54 million abortions since 1973.
false,We have doubled the distance our cars will go on a gallon of gas.
barely-true,Says Jeb Bush extended early voting after seeing long lines.
mostly-true,Federal spending on entitlements is projected to consume all revenue by 2045.
half-true,Virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today. It had a very low rate of higher education attainment but is now above the national average.
half-true,Both the state and federal governments make more per gallon in gas taxes than the oil companies make themselves for doing all the work.
half-true,"The firefighters, the policemen and others who supported (Wisconsin Gov. Scott Walker) in his election bid ... dont have to worry about their collective bargaining rights."
mostly-true,This is not a joke: the president wants to house illegal aliens on our nations military installations.
true,"We definitely lost way more jobs in Texas this year than we gained we lost 300,000 jobs in Texas alone this year."
true,"A national study of 2,500 charter schools shows that maybe 20 percent do better than the community public schools, 40 percent or so do worse and the rest are not having any significant difference."
half-true,"Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we dont need federal standards."
half-true,Two of the top three (rated) public high schools in Wisconsin Ronald Reagan College Prep and Rufus King International are MPS schools.
false,Passage of a referendum on an aquarium for Clearwater means NO future funding for our neighborhoods.
mostly-true,Gov. Kasich and the Republican-dominated legislature have foregone the popular option of closing tax loopholes that amount to $7 billion annually in this state.
false,Say George Washington said that when government takes away citizens right to bear arms it becomes citizens duty to take away governments right to govern.
true,"During the Bush administration, you actually had a prominent liberal write a book about how Bush was preparing for a fascist takeover of this country."
pants-fire,Says PolitiFact says Amendment 4 will force counties and cities across Florida to raise taxes and fees.
true,Uber and other ride-share firms are not required to carry auto insurance under Georgia law.
false,On public financing of his campaign.
true,Its taken more time to complete the Towpath Trail than it did to build the (Ohio Erie) Canal.
barely-true,Says U.S. Rep. Patrick Murphy has sided with the GOP on key votes twice as often as he sided with Democrats.
half-true,One Wisconsin school district is so worried about losing state funding that it has stopped giving milk to elementary school kids during snack time.
mostly-true,Gov. Bob McDonnell launched a raid on public education to pay for roads.
mostly-true,We are the only industrialized nation that doesnt guarantee workers paid family leave.
true,"Over the past three years, deep poverty has reached its highest level on record."
half-true,Says Rick Perry cut taxes.
pants-fire,Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.
barely-true,"Days after the (Osama bin Laden) raid, Hollywood was invited into the White House so that they could receive a briefing that revealed intelligence sources and methods."
pants-fire,The Books Sarah Palin tried to have banned.
true,"The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression."
mostly-true,"Says Mitt Romney has said we dont need more firemen, more policemen, more teachers."
half-true,Says signs posted at projects funded by the federal stimulus act has cost 20 or 40 million dollars.
barely-true,Almost nine out of every 10 pennies that would be spent turning a 200-mile stretch of Interstate 70 into a toll road would be from folks outside Missouri.
barely-true,"Says my advocacy questioning contracting out in Parks delayed and altered the renewal of the Brooks contract, and reduced the number of contracted employees in Parks from over 100 to fewer than 40."
half-true,Says Barack Obama has deported more people than any other president in this countrys history.
half-true,Weve seen more manufacturing jobs created since Ive been president than anytime since the 1990s. Thats a fact.
half-true,"Says Americans invented Pong, Space Invaders and the iPhone."
false,"Minnesotas advantage in economic growth has been having Republicans in charge of at least one part of government for all but two years, while Wisconsin Democrats for many years before 2011 controlled both legislative chambers and the governorship."
half-true,More whites than blacks are victims of deadly police shootings.
half-true,More than 90 percent of the guns recovered in Mexico come from the United States.
half-true,"Romneys Medicare plan was estimated to cost the average senior about $6,000 a year."
false,"San Antonio has seen 67% growth in water customers in the last 25 years, 0% more water used."
barely-true,"Since 1978, California has spent $5 billion to put 13 people to death."
mostly-true,The average Atlanta resident spends an extra $924 each year in additional gasoline and wasted time.
false,Reporters have uncovered another Scott company accused of criminal acts. But Scott wont come clean.
false,Were the highest taxed nation in the world.
mostly-true,"Under the Endangered Species Act, only 1 percent of the species that have been listed have actually been delisted."
true,Says the U.S. Supreme Court found that Social Security is not guaranteed.
mostly-true,"Thanks in part to our all-of-the-above strategy for American energy, the United States generates more natural gas than anybody."
half-true,"Says that in some Texas communities, our unemployment rate is still at 10 and 20 percent."
true,"In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington."
barely-true,Says Tammy Baldwin had the opportunity to vote to honor the victims of 9/11 and she voted against it.
pants-fire,"Ive been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers."
true,Only 18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.
mostly-true,Obamacare is not a popular law.
mostly-true,Florida Statutes require (Attorney General Bill) McCollum to consult with members of Florida's Congressional delegation before filing a lawsuit against the health care reform law.
false,David Perdue has never voted in a Republican primary until his name was on the ballot.
half-true,"Fred's never had a 100 percent record on right-to-life in his Senate career. The records reflect that. And he doesn't support the human life amendment, which is most amazing because that's been a part of the Republican platform since 1980."
half-true,"Says Ohio Gov. John Kasich had the worst rating on spending of any governor in the country, Republican or Democrat."
barely-true,"Says its a statistical reality that most single moms are very poor, under-educated, cant get a job, and if it werent for government assistance, their kids would be starving to death."
half-true,53 percent of Americans cut back on their health care in the last year because of costs.
half-true,"In Texas, we created over 1 million new jobs while the rest of the nation lost over 2 million."
mostly-true,"Susie Lee and her husband own 17 homes across the country and use their private jet to take vacations, and invest in companies like Walmart, Halliburton and GEO Group."
true,The last time Republican U.S. Senate candidates beat more than two (incumbents) was 1980.
barely-true,Wisconsin is not walking away from a dime in federal funds by rejecting the Obamacare Medicaid expansion.
false,The Red Sox waited 87 long years to win the World Series.
true,I never had a filibuster-proof Senate.
mostly-true,"The Wisconsin state Assembly chambers extend to the bathroom and the parlor, and rules allow members to vote for each other if the member is in the chambers."
true,"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report."
pants-fire,"Wisconsin is broke, and state government is $3 billion in debt."
mostly-true,[T]his breed (of pit bulls) is most often associated with aggressive behavior.
mostly-true,Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.
false,"Says Wisconsin Gov. Scott Walkers actions are directly responsible for killing at least 15,000 jobs."
true,The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.
false,22 Countries Invaded by the U.S. in 20 Years.
mostly-true,We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.
mostly-true,Austin is the biggest city in America with a Tier One research university (UT-Austin) but without a medical school.
true,"Despite having their budget increased by over 40 percent since 2009 pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration."
true,By registration fewer than 20 percent of Florida voters are Independents.
half-true,President Barack Obama put in place historic fuel efficiency standards for cars and trucks to lower costs at the pump and reduce dependence on foreign oil.
true,Says that the federal gas tax has not been raised since 1993.
half-true,Under the Obama economy ... utility bills are higher.
false,"Under a bill before the legislature, youd have to go to court to fire an employee."
pants-fire,Says Barack Obama founded ISIS. I would say the co-founder would be crooked Hillary Clinton.
false,A recent economic uptick appears to coincide with the expectation of a new Republican Congress.
half-true,"Today, there are more Hoosiers going to work than ever before in the 200-year history of the great state of Indiana."
mostly-true,"Over the last 40 years, this countrys prison population has grown by 500 percent."
true,Rhode Islands legislature is the strongest in the country.
false,Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obamas political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election
half-true,Says his administration has created 5 million jobs over the last 30 months in the private sector alone.
half-true,Sen. George LeMieux voted to let oil companies off the hook and overturn pollution rules.
half-true,"Says that during President Barack Obamas tenure, the United States has created 15 million new jobs."
false,Says students who receive free or reduced lunch are performing just as well as students who do not.
pants-fire,"Says in the 2012 State of the Union address, President Obama didnt even mention the deficit or debt."
false,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle."
mostly-true,"When John Kasich became governor of Ohio, there was an $8 billion budget deficit and now theres a $2 billion surplus."
barely-true,"﻿﻿Since Mayor Kennedy OBrien took office Sayreville has issued 22,081 building permits! Now OBrien is holding secret meetings with big developers."
true,Senator McCain voted against the Bush tax cuts. Now he's for them.
barely-true,"Congressman Jeff Denhamhas agreed all illegal immigrants should be detained, arrested and deported."
barely-true,Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.
mostly-true,We have a $2 trillion to $3 trillion infrastructure deficit. Weve got work that needs to get done. Weve got people that want to go to work.
half-true,Says history suggests sports will quickly subsume a lot of the attention span of the country in the presidential primary.
mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.
half-true,Halliburton defrauded American taxpayers of hundreds of millions of dollars in Iraq.
true,"Virginia was named best managed state, best state for business and best state toraise a child while I was governor."
half-true,"We had 2 percent of the global market (for advanced batteries) when he (Obama) started. We now have 16 percent, headed to 40 percent by 2015."
mostly-true,"During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did."
mostly-true,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities."
mostly-true,"A single mother of two cant qualify for basic healthcare through Medicaid if she makes more than $3,504 dollars a year."
false,You cant pass a budget in the Senate of the United States without 60 votes.
true,The highest paid employee of the State of Rhode Island is a basketball coach.
false,There is a 34 percent increase in violent crime in the state of California. And thats just within the last year.
pants-fire,Sixty percent of the Hispanics support the Arizona immigration law
half-true,Obamacare could force thousands of volunteer fire stations to cut service or close entirely!
half-true,Twenty-five or 24 million people are out of work or stopped looking for work.
true,"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding."
false,"In Wisconsin, more than 300,000 people have some kind of addictive gambling problem, whether its pathological or what wed categorize as a problem gambler."
false,"A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention, Control and Countermeasure Program when dealing with spilt milk -- the same regulations oil and natural gas producers must follow."
barely-true,"Says after Hurricane Sandy, New York Mayor Michael Bloomberg refused to allow the National Guard into the city to restore civil order because Guardsmen carry guns!"
false,Obama will charge a 28 percent tax on all home sales.
half-true,Portland Bureau of Transportation barely break(s) even ticketing motorists.
mostly-true,Its expressly prohibited by law that you can read and wholly surveil domestic email traffic in the United States.
barely-true,"The incoming Republican freshman class well, its no ordinary group: nearly half of its roughly 80 members have never served in elective office before."
false,Heroin and prescription opioids are the number one cause of accidental or preventable death in Wisconsin.
half-true,"Amendment 2 will put almost 2,000 pot shops in Florida ... more pot shops than Walmart and Walgreens combined."
mostly-true,Says U.S. Senate candidate Joni Ernst does not support a national minimum wage.
half-true,The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.
barely-true,"In Liberia, a girl is more likely to be married by 18 than to know how to read."
mostly-true,"Of the 18 stadiums built from 2004 to 2013, 47 percent of the total cost came from public sources."
true,"Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State."
half-true,"Thanks to restrictive and anticompetitive ballot laws, candidates in November 2014 ran unopposed in nearly half of Wisconsins state representative races but in Michigan and Minnesota nearly all races had challengers."
half-true,Says U.S. Senate candidate Adam Hasner cited his efforts to weaken pro-life and school choice legislation as unequivocal proof that hes a moderate.
true,Florida shelled out more money for drug testing than it saved by denying welfare benefits to people who tested positive for drugs.
half-true,"A gas tax holiday is a gimmick that ""every economist says will just go into the pockets of the oil companies."""
mostly-true,Says Nevadans will have a double-digit hike in their Obamacare premiums for the year and 10 of Nevadas 16 counties will only have one Obamacare...exchange insurer
false,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share"
true,Says New Hampshires second congressional district includes two counties where almost 5 percent if not more of residents are enrolled in the states expanded Medicaid program.
true,Last year we spent more than $40 billion on highways. And Lord knows we need that. But thats more than we spent on Amtrak in its entire 40-year history.
mostly-true,I still live in the same working-class neighborhood I grew up in.
barely-true,"I have the most Grammys of anyone my age, but I havent won one against a white person."
pants-fire,Says Texas voters are being asked to act this November on a proposed constitutional amendment affecting property taxes.
half-true,On toll roads.
barely-true,The American people support defunding Obamacare and oppose shutting down the government.
half-true,Amendment 2 will bring kid-friendly pot candy to Florida.
mostly-true,"With the tax controls we already put in place, property taxes on a typical home in December of 2014 will actually be lower than they were in December of 2010."
false,We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.
half-true,"Obama's wife said her goal in life was to put the black community ""first and foremost."""
mostly-true,In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.
barely-true,Women pay 48 percent more for health insurance.
barely-true,"Says 70,000 children have lost their Head Start slots because of the sequester."
mostly-true,"Ultimately, after an exhaustive investigation, the National Transportation Safety Board concluded that a Minneapolis bridge collapsed in 2007 because of an original design flaw dating back to the 1960s."
barely-true,"Under the administration of Gov. Scott Walker, northern Wisconsins mining economy is moving forward and more people are getting good, high-paying jobs."
half-true,Says the pension and health benefits reform eliminated collective bargaining for health benefits.
mostly-true,Illegal immigrants currently occupy 8 million jobs.
false,White men account for 69 percent of those arrested for violent crimes.
true,Wisconsin is below the national average in wage growth and job growth.
half-true,Says Katie McGintyactually agrees with Hillary Clinton and the most liberal wing of the Democrats on everything.
half-true,"Were at the point of reaching 2 million deportations ...this is a historic level, more than any other president of the United States."
false,"But if my opponent had his way, the millions of Floridians who rely on it would've had their Social Security tied up in the stock market this week."
mostly-true,"Since I took office, weve created 76,800 jobs."
false,On gay marriage
true,"At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined."
half-true,We have record numbers of people living in poverty.
half-true,Says the acting chief of the IRS said he and the majority of IRS employees would rather stay with his current health plan than switch to Obamacare.
barely-true,"Says Jeff Wentworth, bending the rules, has used $211,743.96 in campaign contributions to lease luxury cars."
half-true,"On U.S.-Israeli relations, Prime Minister Benjamin Netanyahu set the record straight he said, our two countries have exactly the same policy (and) our security cooperation is unprecedented."
true,"Were. . . keeping and creating jobs in our state. From American Greetings, to Wendys, to Diebold, weve gone to their doorsteps to keep jobs right here in Ohio."
true,"Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress."
true,The world food demand is going to double sometime between now and 2070.
true,"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space."
barely-true,Gov. Romney's own health care plan in Massachusetts ... requires by law that a representative from Planned Parenthood sit on the MassHealth advisory board.
barely-true,Says President Barack Obama attacked potential terrorist targets in Syria in the middle of the night to minimize terrorist casualties.
half-true,The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools.
half-true,"In Congress, (Cresent Hardy) voted to defund DACA."
barely-true,"Regarding sexual assault against women, Its actually safer not to be in college than it is to be in college."
false,There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.
true,"In Chicago, theyve had thousands of shootings, thousands since Jan. 1. Thousands of shootings."
mostly-true,"Newt Gingrich was fined $300,000 for ethics violations."
true,"Says as Co-Chair of the Joint Ways Means Committee, I secured the key piece of funding for the Portland-Milwaukie Light Rail project bridge."
true,Says Congressmen Paul Ryan and Todd Akin co-sponsored legislation to limit federal funding for abortion to victims of forcible rape.
true,"Here in Wisconsin, weve put in previous budgets more money into mental health services than any governor has in the last 25 years."
barely-true,Gasoline would rise in price by approximately 50 cents a gallon if the McCain-Lieberman bill became law.
false,Paul Broun Jr. sides with sexual deviants to support sale of crush videos.
false,"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics."
false,Every 28 hours an unarmed black person is shot by a cop.
false,"New Jersey alone, my home state, is facing a ten-and-a-half billion dollar shortfall in its 2012 fiscal budget. This means more cuts in state and local spending for education, which means our kids are hurt."
false,The Bush tax cuts created about 8 million jobs over the first 10 years that they were in existence. Weve lost about 5 million of those jobs during this recession.
half-true,We dont have bridges being built in the United States.
mostly-true,"In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line. Today, that same worker would earn less than the poverty line for a family of two."
half-true,Congresswoman Bachmann actually said we should be 'weaned' off our Social Security and Medicare. She wants to privatize Social Security and replace Medicare with some kind of voucher system.
